date,open,close,high,low,volume
1452394961,2932.8,2933.61,2933.66,2932.4,499.655
1452394991,2933.3,2933.51,2933.99,2932.99,600.487
1452395023,2936.07,2936.73,2937.0,2935.68,312.597
1452395055,2936.4,2935.75,2937.0,2935.72,616.05
1452395083,2936.31,2935.27,2937.19,2935.26,464.777
1452395115,2934.73,2935.63,2935.91,2934.73,657.413
1452395142,2934.77,2934.13,2935.0,2933.74,513.883
1452395174,2935.2,2934.47,2935.66,2934.47,650.883
1452395198,2935.56,2935.1,2935.98,2935.06,631.565
1452395230,2933.5,2933.93,2934.0,2933.0,699.994
1452395258,2932.95,2933.0,2933.0,2931.11,712.603
1452395292,2931.0,2931.58,2933.0,2931.0,570.141
1452395316,2933.11,2932.51,2933.35,2932.41,239.041
1452395348,2932.41,2932.4,2932.77,2932.08,275.003
1452395378,2932.39,2931.63,2932.75,2931.5,314.136
1452395413,2931.66,2932.14,2932.18,2931.0,352.66
1452395440,2930.25,2930.3,2931.0,2930.25,369.413
1452395473,2930.5,2931.72,2931.94,2930.4,330.789
1452395497,2931.0,2931.78,2931.8,2930.9,285.114
1452395533,2932.15,2933.0,2933.06,2932.15,269.938
1452395561,2933.31,2933.61,2934.13,2933.3,269.004
1452395587,2933.69,2932.85,2934.31,2932.8,225.138
1452395618,2931.92,2931.93,2932.62,2931.62,274.16
1452395648,2932.32,2932.53,2932.87,2932.01,278.81
1452395678,2931.43,2931.15,2931.47,2930.96,183.526
1452395704,2930.72,2930.12,2930.89,2930.11,210.396
1452395735,2929.52,2929.02,2929.54,2929.0,313.803
1452395773,2929.11,2929.32,2929.94,2929.01,479.133
1452395795,2929.92,2930.05,2930.09,2929.51,536.304
1452395827,2930.65,2930.52,2930.89,2930.43,161.155
1452395852,2930.0,2929.66,2930.0,2929.22,189.061
1452395885,2928.54,2928.3,2928.62,2928.0,307.645
1452395916,2929.11,2930.12,2930.27,2929.09,291.417
1452395943,2929.36,2929.54,2929.54,2928.9,249.069
1452395980,2930.46,2931.05,2931.31,2930.1,166.233
1452396008,2931.0,2931.78,2931.93,2931.0,247.429
1452396041,2931.5,2931.36,2931.81,2930.89,368.1
1452396073,2933.16,2933.2,2935.0,2932.97,420.631
1452396096,2931.97,2931.02,2932.05,2930.8,171.692
1452396127,2932.71,2931.99,2932.71,2931.81,207.663
1452396160,2932.2,2931.99,2932.5,2931.4,217.848
1452396181,2931.87,2931.18,2931.9,2931.05,155.246
1452396216,2932.6,2932.76,2933.0,2932.45,193.127
1452396247,2933.0,2933.51,2934.0,2932.58,283.37
1452396275,2934.0,2933.17,2934.02,2932.97,229.655
1452396311,2933.02,2932.89,2933.79,2932.89,286.635
1452396340,2932.0,2931.68,2932.37,2931.08,384.546
1452396364,2931.64,2931.51,2931.76,2931.05,140.173
1452396399,2932.2,2932.37,2932.9,2931.88,241.584
1452396427,2932.69,2932.76,2932.92,2932.35,168.856
1452396451,2932.79,2934.0,2934.0,2932.35,216.689
1452396485,2933.45,2932.63,2933.45,2932.61,146.522
1452396518,2933.13,2932.14,2933.13,2931.69,307.671
1452396535,2932.07,2931.78,2932.57,2931.78,166.818
1452396578,2931.52,2931.94,2932.13,2931.0,208.05
1452396604,2931.53,2930.95,2932.12,2930.95,303.437
1452396638,2931.46,2930.73,2931.7,2930.69,161.753
1452396666,2930.45,2930.93,2931.0,2930.28,252.38
1452396703,2931.46,2930.57,2931.51,2930.32,377.192
1452396722,2930.13,2930.49,2930.5,2930.0,341.939
1452396761,2929.17,2929.68,2930.0,2929.11,225.808
1452396786,2928.56,2928.06,2928.6,2928.0,255.74
1452396824,2927.98,2928.19,2928.28,2927.7,581.626
1452396849,2929.65,2929.19,2929.75,2928.89,386.648
1452396874,2928.46,2928.99,2929.0,2928.41,265.546
1452396910,2928.85,2928.03,2928.85,2928.0,236.527
1452396936,2928.46,2928.55,2928.87,2928.13,157.843
1452396967,2929.04,2930.04,2930.05,2929.03,251.979
1452396999,2929.6,2929.92,2930.95,2929.42,242.333
1452397029,2930.52,2931.0,2931.0,2930.33,325.525
1452397050,2930.64,2930.63,2931.54,2930.63,299.555
1452397083,2930.19,2930.5,2930.64,2930.0,170.395
1452397103,2930.83,2930.91,2931.02,2930.5,107.693
1452397143,2931.38,2930.65,2931.45,2930.5,185.843
1452397176,2930.53,2930.06,2930.62,2929.54,298.089
1452397204,2929.89,2929.38,2930.33,2929.38,206.461
